"filename", "language", "JavaScript", "JSON", "YAML", "Properties", "Log", "comment", "blank", "total"
"c:\Users\USER\Desktop\stend\broker\compose.js", "JavaScript", 35, 0, 0, 0, 0, 0, 15, 50
"c:\Users\USER\Desktop\stend\broker\configFiles\config\mosquitto.conf", "Properties", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\USER\Desktop\stend\broker\configFiles\docker-compose.yml", "YAML", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\USER\Desktop\stend\broker\configFiles\log\mosquitto.log", "Log", 0, 0, 0, 0, 429, 0, 1, 430
"c:\Users\USER\Desktop\stend\broker\dockerFilesPreparer.js", "JavaScript", 57, 0, 0, 0, 0, 0, 13, 70
"c:\Users\USER\Desktop\stend\controllers\AuthController.js", "JavaScript", 71, 0, 0, 0, 0, 0, 18, 89
"c:\Users\USER\Desktop\stend\controllers\DevicesController.js", "JavaScript", 219, 0, 0, 0, 0, 1, 45, 265
"c:\Users\USER\Desktop\stend\controllers\GatewaysController.js", "JavaScript", 111, 0, 0, 0, 0, 10, 25, 146
"c:\Users\USER\Desktop\stend\controllers\UserController.js", "JavaScript", 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\USER\Desktop\stend\controllers\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\USER\Desktop\stend\devices\controlled\controlled.js", "JavaScript", 296, 0, 0, 0, 0, 0, 53, 349
"c:\Users\USER\Desktop\stend\devices\controlled\lamp.js", "JavaScript", 13, 0, 0, 0, 0, 0, 9, 22
"c:\Users\USER\Desktop\stend\devices\sensors\humidity.js", "JavaScript", 42, 0, 0, 0, 0, 0, 12, 54
"c:\Users\USER\Desktop\stend\devices\sensors\lighting.js", "JavaScript", 66, 0, 0, 0, 0, 0, 17, 83
"c:\Users\USER\Desktop\stend\devices\sensors\noise.js", "JavaScript", 57, 0, 0, 0, 0, 0, 12, 69
"c:\Users\USER\Desktop\stend\devices\sensors\sensor.js", "JavaScript", 342, 0, 0, 0, 0, 1, 46, 389
"c:\Users\USER\Desktop\stend\devices\sensors\temperature.js", "JavaScript", 41, 0, 0, 0, 0, 0, 21, 62
"c:\Users\USER\Desktop\stend\gateways\ble.js", "JavaScript", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\USER\Desktop\stend\gateways\ethernet.js", "JavaScript", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\USER\Desktop\stend\gateways\gateway.js", "JavaScript", 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\USER\Desktop\stend\gateways\wifi.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\USER\Desktop\stend\host.js", "JavaScript", 36, 0, 0, 0, 0, 1, 8, 45
"c:\Users\USER\Desktop\stend\models\Device.js", "JavaScript", 61, 0, 0, 0, 0, 0, 10, 71
"c:\Users\USER\Desktop\stend\models\Gateway.js", "JavaScript", 42, 0, 0, 0, 0, 1, 14, 57
"c:\Users\USER\Desktop\stend\models\User.js", "JavaScript", 44, 0, 0, 0, 0, 0, 5, 49
"c:\Users\USER\Desktop\stend\package-lock.json", "JSON", 0, 1881, 0, 0, 0, 0, 1, 1882
"c:\Users\USER\Desktop\stend\package.json", "JSON", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\USER\Desktop\stend\routes\autorization.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\USER\Desktop\stend\routes\devices.js", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\USER\Desktop\stend\routes\gateways.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\USER\Desktop\stend\routes\user.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\USER\Desktop\stend\schemas.js", "JavaScript", 117, 0, 0, 0, 0, 9, 42, 168
"c:\Users\USER\Desktop\stend\storages\deviceStorage.js", "JavaScript", 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\USER\Desktop\stend\storages\gatewayStorage.js", "JavaScript", 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\USER\Desktop\stend\storages\index.js", "JavaScript", 16, 0, 0, 0, 0, 1, 4, 21
"c:\Users\USER\Desktop\stend\storages\userStorage.js", "JavaScript", 57, 0, 0, 0, 0, 0, 13, 70
"c:\Users\USER\Desktop\stend\utils\checkApiToken.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\USER\Desktop\stend\utils\checkAuth.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\USER\Desktop\stend\utils\checkPersonalBroker.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 2030, 1904, 17, 6, 429, 24, 445, 4855